time,x,z,vx,vz,theta,omega,delta,T_cmd,delta_d
0.176,0.0173111607243027,-0.0197042995141981,0.280836763613977,-0.335432556698041,-0.201546595586321,-2.56808201286459,0.0267709411770562,4.12556651698263,0.145935394584774
0.178,0.0178776708863979,-0.0203878548308674,0.285727168760742,-0.343702100950873,-0.206618048665427,-2.55596798660516,0.0335413125856878,4.17326143939981,0.152219299309164
0.18,0.0184539529350443,-0.021088296918235,0.290614578866961,-0.352235871975921,-0.211661498824968,-2.54069349212411,0.0403374949371037,4.2201199052184,0.158394830113085
0.182,0.0190400014511143,-0.0218060972895086,0.295498047121839,-0.361042296885219,-0.216670990047235,-2.52219103978652,0.0471515548814709,4.26595371621338,0.164455223653358
0.184,0.019635791390878,-0.0225418077765409,0.30037557692451,-0.370124997349961,-0.221639757248077,-2.50040676226103,0.053975653412054,4.31057467415975,0.170393716586804
0.186,0.0202412928044551,-0.0232960002908462,0.305244909226592,-0.379486393681129,-0.226560833076738,-2.47529019779213,0.0608019751078919,4.35379458083248,0.176203545570245
0.188,0.0208564757419652,-0.0240692467439385,0.310103784979703,-0.389128906189704,-0.231427250182458,-2.44679088462434,0.0676227045480236,4.39542523800657,0.181877947260503
0.19,0.021481310253528,-0.024862119047332,0.314949945135462,-0.399054955186671,-0.236232041214478,-2.41485836100215,0.074430026311488,4.43527937718961,0.187410195383405
0.192,0.0221157663892632,-0.0256751891125408,0.319781130645486,-0.40926696098301,-0.240968238822041,-2.37944216517009,0.0812161249773241,4.47319111373947,0.192794416251949
0.194,0.0227598141992903,-0.0265090288510791,0.324595082461393,-0.419767343889705,-0.245628875654387,-2.34049183537266,0.0879731851245707,4.50901594686429,0.198025588766302
0.196,0.023413423733729,-0.0273642101744609,0.329389541534801,-0.430558524217737,-0.250206984360758,-2.29795690985436,0.0946933913322668,4.54261030550483,0.203098728895637
0.198,0.024076565042699,-0.0282413049942004,0.334162248817329,-0.44164292227809,-0.254695597590396,-2.25178692685971,0.101368928179451,4.57383061860182,0.208008852609128
0.2,0.0247492081763199,-0.0291408852218117,0.338910945260593,-0.453022958381745,-0.259087747992542,-2.2019314246332,0.107991980245163,4.60253331509604,0.212750975875948
0.202,0.025431312923169,-0.0300635144041086,0.34363309866567,-0.464699409555267,-0.263376414705888,-2.14835141081576,0.114554889476575,4.62857482392822,0.217320114665273
0.204,0.0261227980256549,-0.0310097226291033,0.348325084231462,-0.476666479687546,-0.267554362826938,-2.09105377063393,0.12105062729339,4.65181157403913,0.221711284946274
0.206,0.0268235719646435,-0.0319800316201078,0.35298300400633,-0.488916729383058,-0.271614303941643,-2.03005685871064,0.127472322483446,4.67209999436952,0.225919502688127
0.208,0.027533543221001,-0.0329749631004338,0.357602960038635,-0.501442719246274,-0.275548949635958,-1.96537902966887,0.133813103834581,4.68929651386014,0.229939783860004
0.21,0.0282526202755934,-0.0339950387933932,0.362181054376737,-0.514237009881668,-0.279351011495835,-1.89703863813154,0.140066100134633,4.70325949032932,0.233767190068297
